,accuracy,corr
no1,0.7446666666666667,0.6106267276371116
no2,0.25933333333333336,0.5129431755102101
no3,0.25933333333333336,0.5129431755102101
no4,0.25933333333333336,0.5129431755102101
no5,0.25933333333333336,0.5129431755102101
no6,0.304,0.38903681552959357
no7,0.25933333333333336,0.5129431755102101
no8,0.25933333333333336,0.5129431755102101
no9,0.25933333333333336,0.5129431755102101
no10,0.25933333333333336,0.5129431755102101
no11,0.25933333333333336,0.5129431755102101
no12,0.25933333333333336,0.5129431755102101
no13,0.25933333333333336,0.5129431755102101
no14,0.7426666666666667,0.6397788873918951
no15,0.25933333333333336,0.5129431755102101
no16,0.25933333333333336,0.5129431755102101
no17,0.25933333333333336,0.5129431755102101
no18,0.25933333333333336,0.5129431755102101
no19,0.25933333333333336,0.5129431755102101
no20,0.25933333333333336,0.5129431755102101
no21,0.25933333333333336,0.5129431755102101
no22,0.25933333333333336,0.5129431755102101
no23,0.5266666666666666,0.3255868484401978
no24,0.25933333333333336,0.5129431755102101
no25,0.25933333333333336,0.5129431755102101
total,0.25933333333333336,0.5129431755102101
reliable,0.25933333333333336,0.5129431755102101
no10_aug,0.25933333333333336,0.5129431755102101
no11_aug,0.25933333333333336,0.5129431755102101
no12_aug,0.25933333333333336,0.5129431755102101
no13_aug,0.25933333333333336,0.5129431755102101
no14_aug,0.25466666666666665,0.41452659531357894
no15_aug,0.25933333333333336,0.5129431755102101
no16_aug,0.25933333333333336,0.5129431755102101
no17_aug,0.25933333333333336,0.5129431755102101
no18_aug,0.11066666666666666,0.3211715758833249
no19_aug,0.25666666666666665,0.35095815044988604
no1_aug,0.7446666666666667,0.6106267276371116
no20_aug,0.25933333333333336,0.5129431755102101
no21_aug,0.25933333333333336,0.5129431755102101
no22_aug,0.25933333333333336,0.5129431755102101
no23_aug,0.25933333333333336,0.5129431755102101
no24_aug,0.25933333333333336,0.5129431755102101
no25_aug,0.25933333333333336,0.5129431755102101
no2_aug,0.25933333333333336,0.5129431755102101
no3_aug,0.25933333333333336,0.5129431755102101
no4_aug,0.25466666666666665,0.37888048810641545
no5_aug,0.25933333333333336,0.5129431755102101
no6_aug,0.3293333333333333,0.5038004949911609
no7_aug,0.25933333333333336,0.5129431755102101
no8_aug,0.25933333333333336,0.5129431755102101
no9_aug,0.25933333333333336,0.5129431755102101
reliable_aug,0.25933333333333336,0.5129431755102101
total_aug,0.25933333333333336,0.5129431755102101
